"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions (kt)","EN.ATM.CO2E.KT","11092.675","11576.719","12713.489","12178.107","11840.743","10623.299","9933.903","12236.779","11378.701","14891.687","16655.514","14495.651","14055.611","15592.084","14132.618","10234.597","21862.654","11419.038","9724.884","10201.594","10498.621","9999.909","11180.683","5746.189","14348.971","16794.86","179.683","447.374","612.389","649.059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kt)","EN.ATM.CO2E.KT","118545.90130597","123758.903329795","128093.897814899","132810.332529783","144345.352398305","155803.780096242","157932.257312203","165066.040490079","174004.892685024","182939.984319516","191243.301798035","213550.946400649","217837.985316189","223290.233235483","226298.370018542","231987.508709502","240665.983328627","246129.511760858","250630.43642251","268619.094385202","280929.89416987","308901.806081339","329541.384584102","344021.803023552","365909.758291284","374516.789661811","385101.6709672","388106.04757928","404605.677834358","401747.947890452","309980.8254427","304407.723572644","300329.971872206","306574.577075445","312677.028664301","330892.998964482","341412.3664288","357963.108674783","366634.479152127","352429.271543457","358460.646325123","397075.660289217","409057.179215757","434533.137679053","466883.238780711","468365.697902131","476590.299877129","500147.184546258","533634.514562978","515682.543832365","543808.651820938","535604.357505138","559333.857277447","580510.924988882","601860.163982524","586385.004028878","592299.593958805","601323.394690938","600351.133332593","","",
"Afghanistan","AFG","CO2 emissions (kt)","EN.ATM.CO2E.KT","414.371","491.378","689.396","707.731","839.743","1008.425","1092.766","1283.45","1224.778","942.419","1672.152","1895.839","1532.806","1639.149","1917.841","2126.86","1987.514","2390.884","2159.863","2240.537","1760.16","1983.847","2101.191","2522.896","2830.924","3509.319","3142.619","3124.284","2867.594","2775.919","2960","2740","1430","1360","1300","1250","1180","1100","1050","820","770","810","1100","1350","1130","1640","1940","2360","4390","6000","8670","12260","10450","8510","7810","7990","7390","7380","7440","","",
"Africa Western and Central","AFW","CO2 emissions (kt)","EN.ATM.CO2E.KT","8760.463","9376.519","9710.216","11540.049","13985.938","19827.469","21246.598","21239.264","16527.169","23743.825","36398.642","48301.724","58059.611","69676.667","84392.338","69995.696","76900.657","74154.074","75045.155","98319.604","98913.658","96889.474","98755.977","91337.636","101154.195","104344.485","99977.088","89694.82","103820.104","82562.505","90210","99880","111590","115080","112220","113980","121890","120450","116930","118000","119510","130120","133840","137380","141040","155650","153210","153350","157600","145550","165750","179070","181740","191990","198440","193060","195120","201900","224380","","",
"Angola","AGO","CO2 emissions (kt)","EN.ATM.CO2E.KT","550.05","454.708","1180.774","1151.438","1224.778","1188.108","1554.808","993.757","1672.152","2786.92","3582.659","3410.31","4506.743","4880.777","4873.443","4415.068","3285.632","3534.988","5412.492","5504.167","5346.486","5280.48","4649.756","5115.465","5009.122","4701.094","4660.757","5815.862","5130.133","5009.122","6330","6530","6370","6900","6690","10780","11410","11730","11370","12650","12370","12910","13620","18010","19290","18210","20340","23490","25080","27150","28530","29460","30250","32820","34630","35160","35410","30840","27340","","",
"Albania","ALB","CO2 emissions (kt)","EN.ATM.CO2E.KT","2024.184","2280.874","2464.224","2082.856","2016.85","2174.531","2552.232","2680.577","3072.946","3245.295","3744.007","4352.729","5643.513","5291.481","4345.395","4594.751","4950.45","5720.52","6494.257","7587.023","5170.47","7341.334","7308.331","7631.027","7825.378","7880.383","8056.399","7444.01","7326.666","8984.15","6050","4110","2240","2070","2140","1950","1970","1480","1800","2970","3170","3220","3750","4110","4290","4070","4050","4220","4170","4320","4580","5040","4580","4790","5220","5070","4930","5600","5560","","",
"Andorra","AND","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","410","410","410","410","430","450","470","490","510","520","520","530","530","560","580","550","540","540","520","520","490","490","480","460","470","470","470","460","","",
"Arab World","ARB","CO2 emissions (kt)","EN.ATM.CO2E.KT","56173.1485507193","62766.1546425027","70773.5262869367","85340.7548305139","99992.697977505","120399.295874207","136165.519587577","147269.272097693","167837.914807147","209284.558504942","218963.053230178","249994.63487205","272540.960864399","317254.280673794","310080.114872896","307248.013486402","372905.625343901","394487.04813305","425176.125966152","455504.285807217","508356.674620711","496284.33607074","474544.551305493","506504.207784031","552524.934605397","583534.419227348","645509.194431409","646569.851387599","684720.356280567","695544.213205022","639188.590050262","666275.065246126","689384.438411006","737400.915204267","777262.324196623","800120.61768783","827779.554539669","850949.186826231","855870.348430225","865471.635151488","893140.615190274","946781.276673814","986311.260496921","1012262.85556778","1069589.36666085","1166727.07081153","1225851.31236809","1282565.18905739","1385236.68921583","1453510.27408105","1533835.68328257","1564748.61270522","1675996.99451633","1706809.49206951","1784413.19760842","1828844.25666163","1846600.61118379","1865421.54352234","1863603.72668494","","",
"United Arab Emirates","ARE","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","18.335","22.002","18.335","22.002","25.669","916.75","1243.113","20524.199","15247.386","21184.259","23454.132","30630.451","31327.181","31070.491","39651.271","38785.859","44814.407","36607.661","36904.688","36857.017","36871.685","35342.546","46394.884","49926.205","47234.627","47693.002","48367.73","54487.953","55400","61500","59640","62150","68290","72640","75810","81450","83850","86000","84540","96260","98120","103530","109980","116280","121460","131690","156200","157180","162820","166320","175730","184100","183840","194040","199460","208250","200300","","",
"Argentina","ARG","CO2 emissions (kt)","EN.ATM.CO2E.KT","48815.104","51180.319","53695.881","50083.886","55727.399","58866.351","63138.406","65543.958","69082.613","77329.696","82734.854","88939.418","90156.862","94065.884","95569.354","94931.296","99786.404","100791.162","102639.33","110703.063","108737.551","102041.609","103424.068","105213.564","106522.683","100596.811","104212.473","114942.115","121473.042","117090.977","99840","105320","107350","111030","113810","113810","126560","127320","133170","134190","131910","124870","117470","128360","141850","146320","155370","163630","168150","157440","168140","177260","178530","184000","179910","186090","184280","180120","177410","","",
